unix,Date,Symbol,Open,High,Low,Close,Volume,Volume USDT,tradecount
1.56695E+12,8/28/2019 0:00,ETH/USDT,187.3,188.25,166.48,173.03,334480.6176,59498959.97,146334
1.56686E+12,8/27/2019 0:00,ETH/USDT,188.61,189.49,184.75,187.24,157898.563,29513243.5,96138
1.56678E+12,8/26/2019 0:00,ETH/USDT,186.54,193.7,186,188.67,254397.7947,48298621.32,130551
1.56669E+12,8/25/2019 0:00,ETH/USDT,190.6,192.4,182.8,186.54,169862.9152,31935951.29,103115
1.5666E+12,8/24/2019 0:00,ETH/USDT,194.02,194.09,185.63,190.6,167806.3429,31786227.86,104191
1.56652E+12,8/23/2019 0:00,ETH/USDT,190.36,196.19,188.16,194.02,192548.5155,37022930.57,128090
1.56643E+12,8/22/2019 0:00,ETH/USDT,187.45,195.14,182.8,190.35,245575.9877,46426395.05,160105
1.56635E+12,8/21/2019 0:00,ETH/USDT,196.55,197.2,179.53,187.45,284973.6419,53434048.95,150215
1.56626E+12,8/20/2019 0:00,ETH/USDT,202.24,202.75,194.45,196.6,189297.7549,37412398.98,109559
1.56617E+12,8/19/2019 0:00,ETH/USDT,194.32,203.59,192.7,202.28,239541.5978,47675347.06,116606
1.56609E+12,8/18/2019 0:00,ETH/USDT,185.67,197.91,183.35,194.33,175363.5062,33655229.09,102057
1.566E+12,8/17/2019 0:00,ETH/USDT,184.83,187,181.83,185.59,138799.6151,25599796.9,101721
1.56591E+12,8/16/2019 0:00,ETH/USDT,187.98,188.39,178.04,184.88,282177.0158,51945182.47,150695
1.56583E+12,8/15/2019 0:00,ETH/USDT,187.08,189.95,181.23,188.03,237953.0943,44183760.71,119008
1.56574E+12,8/14/2019 0:00,ETH/USDT,209.31,209.9,183.49,187.1,325228.9893,63597043.19,171181
1.56565E+12,8/13/2019 0:00,ETH/USDT,211.58,214.3,204,209.3,166922.482,34861802.4,102967
1.56557E+12,8/12/2019 0:00,ETH/USDT,216.41,216.81,209.75,211.41,122760.9462,26091487.96,85543
1.56548E+12,8/11/2019 0:00,ETH/USDT,206.48,216.94,206.14,216.42,188474.0905,39875149.55,112904
1.5654E+12,8/10/2019 0:00,ETH/USDT,210.52,215,202.6,206.48,252614.0239,52534644.57,142706
1.56531E+12,8/9/2019 0:00,ETH/USDT,221.38,221.79,207.3,210.53,232062.1276,49415315.75,140538
1.56522E+12,8/8/2019 0:00,ETH/USDT,226.11,228.5,215.51,221.39,236886.3542,52730777.07,132568
1.56514E+12,8/7/2019 0:00,ETH/USDT,226.31,231.25,220.95,226.1,279104.7037,63135096.49,159413
1.56505E+12,8/6/2019 0:00,ETH/USDT,233.53,239.15,223.03,226.28,341279.0816,78590684.02,172932
1.56496E+12,8/5/2019 0:00,ETH/USDT,221.79,236.25,221.79,233.54,307956.2721,70962003.84,173092
1.56488E+12,8/4/2019 0:00,ETH/USDT,222.14,223.34,216.9,221.79,135622.0258,29836777.69,90502
1.56479E+12,8/3/2019 0:00,ETH/USDT,217.69,224.51,216.62,222.14,181591.953,40285734.53,110659
1.5647E+12,8/2/2019 0:00,ETH/USDT,216.8,222.18,214.31,217.61,206867.0304,45116694.86,123571
1.56462E+12,8/1/2019 0:00,ETH/USDT,218.42,219.39,210.54,216.84,186806.1884,40054998.68,116919
1.56453E+12,7/31/2019 0:00,ETH/USDT,209.57,218.79,209.2,218.42,207213.5566,44416634.9,122971
1.56444E+12,7/30/2019 0:00,ETH/USDT,210.84,214.36,204.4,209.58,222683.7939,46627086.48,129043
1.56436E+12,7/29/2019 0:00,ETH/USDT,211.58,215.83,206.59,210.89,226941.28,47853275.13,133256
1.56427E+12,7/28/2019 0:00,ETH/USDT,207.3,213.52,198.24,211.62,218801.1669,45414505.79,132599
1.56419E+12,7/27/2019 0:00,ETH/USDT,218.81,223.3,203,207.3,301209.4111,63931823.16,180170
1.5641E+12,7/26/2019 0:00,ETH/USDT,219.14,220,212.71,218.81,197781.9865,42839496.54,133271
1.56401E+12,7/25/2019 0:00,ETH/USDT,216.31,225.12,215.23,219.14,280370.2963,62017449.36,167223
1.56393E+12,7/24/2019 0:00,ETH/USDT,212.55,218.28,202,216.31,331162.6484,69281797.02,188919
1.56384E+12,7/23/2019 0:00,ETH/USDT,217.59,219.55,208.36,212.48,317876.4824,67930201.67,169515
1.56375E+12,7/22/2019 0:00,ETH/USDT,225.49,228.34,212.25,217.51,271310.4045,59602149.04,155651
1.56367E+12,7/21/2019 0:00,ETH/USDT,228.25,229.66,216.99,225.38,270046.1519,60421739.05,149561
1.56358E+12,7/20/2019 0:00,ETH/USDT,220.84,235.09,219.78,228.2,325393.9723,74182517.24,158590
1.56349E+12,7/19/2019 0:00,ETH/USDT,225.75,226.23,212.52,220.73,371622.2187,81600507.57,178357
1.56341E+12,7/18/2019 0:00,ETH/USDT,210.8,229.65,205.71,225.73,609081.4909,132637638.8,264573
1.56332E+12,7/17/2019 0:00,ETH/USDT,198.94,219.86,191.84,210.81,694854.1013,143020072,306708
1.56324E+12,7/16/2019 0:00,ETH/USDT,228.2,234.5,192.25,198.88,715604.832,151473621.6,315783
1.56315E+12,7/15/2019 0:00,ETH/USDT,225.83,235.58,203.08,228.2,715991.2069,159784811.6,320571
1.56306E+12,7/14/2019 0:00,ETH/USDT,268.8,269.74,222.81,225.85,540052.5842,130785859,260313
1.56298E+12,7/13/2019 0:00,ETH/USDT,274.53,275.04,262.2,268.79,205959.2685,55323572.09,132115
1.56289E+12,7/12/2019 0:00,ETH/USDT,268.67,278.99,266.21,274.62,266734.5421,72743548.04,150653
1.5628E+12,7/11/2019 0:00,ETH/USDT,289.23,289.23,262.12,268.63,501592.7521,136450969.6,278211
1.56272E+12,7/10/2019 0:00,ETH/USDT,307.46,314.18,281.04,289.23,457080.9406,135779813.6,241966
1.56263E+12,7/9/2019 0:00,ETH/USDT,311.96,318.19,302.69,307.46,309447.3493,96199378.54,183056
